molecule_chembl_id,canonical_smiles,activity_comment
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,Toxic
CHEMBL1837037,CN1Cc2cc(Cl)ccc2-n2c(nnc2C2CCN(c3ccccn3)CC2)C1,Non-toxic
CHEMBL1834420,N=C(N)NCCC[C@H](N)C(=O)Nc1ccc(Oc2ccc(S(=O)(=O)CC3CS3)cc2)cc1,Non-toxic
CHEMBL1834422,Nc1ccc(Oc2ccc(S(=O)(=O)CC3CS3)cc2)cc1,Non-toxic
CHEMBL1834554,Nc1ncnc2c1O[C@@H](c1ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc1)CO2,Non-toxic
CHEMBL1915783,Cc1noc(NC(=O)N2CCC3(CC2)CC(c2ccc(F)c(Cl)c2)C3)c1C,Non-toxic
CHEMBL1916399,N#Cc1cc(OC(F)(F)F)cc(-c2nc(-c3ccc4c(c3)CCN4C(=O)CCC(=O)O)no2)c1,Non-toxic
CHEMBL1916559,O=C(O)CCC(=O)N1CCc2cc(-c3noc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)n3)ccc21,Non-toxic
CHEMBL1923983,CNc1nc2[nH]c(-c3cccc(CNC(=O)COC)n3)cc2c2c1ncn2C,Non-toxic
CHEMBL1922440,Cl.O=[N+]([O-])c1ncn(CCCNc2ccnc3cc(Cl)ccc23)n1,Non-toxic
CHEMBL1922444,Cl.O=[N+]([O-])c1ncn(CCCNc2nc(-c3ccccc3)nc3ccccc23)n1,Non-toxic
CHEMBL1922453,Cl.O=[N+]([O-])c1ncn(CCCNCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1,Non-toxic
CHEMBL1923502,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O1.Cl.O,Non-toxic
CHEMBL1766813,COCCN(C)c1ccc(NC(=O)c2nc(-c3ccccc3)oc2C(F)(F)F)cn1,Non-toxic
CHEMBL1929387,Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)cn2n1.Cl,Non-toxic
CHEMBL66165,Clc1ccc2c(NCCCCNc3ccnc4cc(Cl)ccc34)ccnc2c1,Non-toxic
CHEMBL253431,CCS(=O)(=O)CCN(C(=O)Cc1ccc(F)c(C(F)(F)F)c1)[C@H](C)c1nc2ncccc2c(=O)n1-c1ccc(C#N)cc1,Non-toxic
CHEMBL1223852,CC1=C(C)C(=O)C(CC[C@](C)(O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)=C(C)C1=O,Non-toxic
CHEMBL227875,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,Non-toxic
CHEMBL1945829,O=C(O[C@@H]1COc2nc([N+](=O)[O-])cn2C1)N1CCN(c2ccc(OC(F)(F)F)cc2)CC1,Non-toxic
CHEMBL1822067,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]nc(OC)c3c2)c1F,Non-toxic
CHEMBL1822068,CCCS(=O)(=O)Nc1ccc(Cl)c(C(=O)Nc2cnc3[nH]nc(OC)c3c2)c1F,Non-toxic
CHEMBL1945845,Cc1n[nH]c(=O)cc1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,Non-toxic
CHEMBL1946837,N[C@H]1CC[C@H](Nc2ncc3nc(Nc4ccc(F)cc4F)n(C4CCCC4)c3n2)CC1,Non-toxic
CHEMBL1950289,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,Non-toxic
CHEMBL1945843,C[C@@H]1CCCN1CCCOc1ccc(-c2cnn(-c3ccccn3)c(=O)c2)cc1,Toxic
CHEMBL2012958,Cc1nc2c(C#N)cccc2n1-c1ccc(C(=O)NC2CC2)s1,Non-toxic
CHEMBL2017291,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,Non-toxic
CHEMBL2017281,COc1cc2c(Nc3cccc4cccnc34)c(C(N)=O)cnc2cc1-c1c(C)noc1C,Toxic
CHEMBL2031886,CN(C)C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1.Cl,Non-toxic
CHEMBL2029546,NC/C=C(/F)COc1ccc(C(=O)NC2CCCCC2)cc1,Non-toxic
CHEMBL2041980,CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1,Non-toxic
CHEMBL531475,COc1ccc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2N)cn1,Non-toxic
CHEMBL2043437,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,Non-toxic
CHEMBL2041766,Clc1ccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)cc1,Non-toxic
CHEMBL2046998,Nc1ccc(-c2ccc(Cl)cc2)cc1,Non-toxic
CHEMBL83147,Nc1ccc(-c2ccc(F)cc2)cc1,Non-toxic
CHEMBL2046997,Nc1ccc(-c2cccc(Cl)c2)cc1,Non-toxic
CHEMBL83162,Nc1ccc(-c2cccc(F)c2)cc1,Non-toxic
CHEMBL2046996,Nc1ccc(-c2ccccc2F)cc1,Non-toxic
CHEMBL2046994,Nc1ccc(-c2ccccc2)c(F)c1,Non-toxic
CHEMBL443531,Nc1ccc(-c2ccccc2)cc1Cl,Non-toxic
CHEMBL82377,Nc1ccc(-c2ccccc2)cc1F,Non-toxic
CHEMBL2046990,Nc1ccc(-c2ccccc2Cl)cc1,Non-toxic
CHEMBL2046988,Nc1ccc(-c2c(F)cccc2F)cc1,Non-toxic
CHEMBL2046987,N#Cc1cc(N)ccc1-c1ccccc1Cl,Non-toxic
CHEMBL2047002,Nc1ccc(-c2c(F)cccc2Cl)c(F)c1,Non-toxic
CHEMBL2047001,N#Cc1cc(Cl)ccc1-c1ccc(N)cc1F,Non-toxic
CHEMBL2047000,Nc1ccc(-c2ccc(F)cc2F)c(F)c1,Non-toxic
CHEMBL2046999,Nc1ccc(-c2c(F)cccc2F)c(F)c1,Non-toxic
CHEMBL2046995,Nc1ccc(-c2ccccc2)c(Cl)c1,Non-toxic
CHEMBL2046993,N#Cc1ccc(-c2ccc(N)cc2F)c(Cl)c1,Non-toxic
CHEMBL2046992,CS(=O)(=O)NCc1ccc(-c2ccc(N)cc2F)c(Cl)c1,Non-toxic
CHEMBL2046991,Nc1ccc(-c2ccccc2Cl)c(F)c1,Non-toxic
CHEMBL2046989,Nc1ccc(-c2ccccc2F)c(F)c1,Non-toxic
CHEMBL2048028,CS(=O)(=O)c1cccc(C[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc4ccoc4c2)C3)C(=O)O)c1,Non-toxic
CHEMBL2046867,CCOc1cccc([C@@]2(N3CCN(c4ccccc4)CC3)[C@H]3C[C@H](C)C[C@H]32)c1,Non-toxic
CHEMBL2047879,Nc1ncnc2c(C(=O)Nc3c(Cl)ccc(NS(=O)(=O)CCCF)c3F)csc12,Non-toxic
